Date,Year,Quarter,Actual_Sales,Forecast_Sales,Error,Error_Pct,CI_Lower_95,CI_Upper_95,CI_Width
2024-10-01,2024,4,14676.0,13304.958327903538,1371.0416720964622,9.342066449280882,9804.638249232872,16805.2784065742,7000.6401573413295
2025-01-01,2025,1,16909.0,13319.664532697514,3589.335467302486,21.22736688924529,6875.865934199065,19763.463131195964,12887.5971969969
2025-04-01,2025,2,14319.0,13435.391226578184,883.6087734218163,6.170883255966313,4296.107439155039,22574.67501400133,18278.56757484629
2025-07-01,2025,3,15376.0,13604.339574752037,1771.6604252479628,11.522245221435764,2025.909860245647,25182.769289258427,23156.85942901278
2025-10-01,2025,4,,17398.071949461657,,,4158.731926721206,30637.411972202106,26478.680045480898
2026-01-01,2026,1,,17674.821604957142,,,2602.7704053629805,32746.872804551305,30144.102399188327
