Date,Year,Quarter,Actual_Sales,Forecast_Sales,Error,Error_Pct,CI_Lower_95,CI_Upper_95,CI_Width
2024-12-31,2024,4,14676.0,12221.562021312286,2454.4379786877143,16.724161751756025,11686.669424822569,12756.454617802003,1069.7851929794342
2025-03-31,2025,1,16909.0,13299.0303097791,3609.9696902209,21.349397895918738,12718.926982755045,13879.133636803155,1160.20665404811
2025-06-30,2025,2,14319.0,14000.214456352907,318.7855436470927,2.226311499735266,12902.504061027628,15097.924851678186,2195.420790650558
2025-09-30,2025,3,15376.0,12632.899795546664,2743.100204453336,17.840141808359366,11967.744946663928,13298.0546444294,1330.3096977654714
2025-12-31,2025,4,,13183.218407974942,,,12386.592703491273,13979.844112458612,1593.2514089673386
2026-03-31,2026,1,,11370.646202024238,,,10678.10024955406,12063.192154494416,1385.0919049403565
