End Date,,,,,,,,,,,Financials,IQ_TOTAL_REV_1YR_ANN_GROWTH,IQ_TOTAL_REV_1YR_ANN_GROWTH,IQ_TOTAL_REV_1YR_ANN_GROWTH,IQ_TOTAL_REV_1YR_ANN_GROWTH,IQ_TOTAL_REV_1YR_ANN_GROWTH,IQ_TOTAL_REV_1YR_ANN_GROWTH,IQ_EBITDA growth,IQ_EBITDA growth,IQ_EBITDA growth,IQ_EBITDA growth,IQ_EBITDA growth,IQ_EBITDA growth,IQ_EBITDA growth,IQ_EBITDA growth,IQ_EBITDA growth,IQ_EBITDA growth,IQ_EBITDA growth,IQ_EBITDA growth,IQ_RETURN_INVESTED_CAPITAL,IQ_RETURN_INVESTED_CAPITAL,IQ_RETURN_INVESTED_CAPITAL,IQ_RETURN_INVESTED_CAPITAL,IQ_RETURN_INVESTED_CAPITAL,IQ_RETURN_INVESTED_CAPITAL,IQ_RETURN_INVESTED_CAPITAL,IQ_RETURN_INVESTED_CAPITAL,IQ_RETURN_INVESTED_CAPITAL,IQ_RETURN_INVESTED_CAPITAL,IQ_RETURN_INVESTED_CAPITAL,IQ_RETURN_INVESTED_CAPITAL,,,,,,End Date,,,,,,
Span,,,,,,,,,,,,IQ_CQ,IQ_CQ,IQ_CQ,IQ_CQ,IQ_CQ,IQ_CQ,IQ_CQ,IQ_CQ,IQ_CQ,IQ_CQ,IQ_CQ,IQ_CQ,IQ_LTM,IQ_LTM,IQ_LTM,IQ_LTM,IQ_LTM,IQ_LTM,IQ_CQ,IQ_CQ,IQ_CQ,IQ_CQ,IQ_CQ,IQ_CQ,IQ_LTM,IQ_LTM,IQ_LTM,IQ_LTM,IQ_LTM,IQ_LTM,,,,,,Span,,,,,,
Start Date,,,,,,,,,,,,COP,XOM,CVX,EOG,BP,DVN,COP,XOM,CVX,EOG,BP,DVN,COP,XOM,CVX,EOG,BP,DVN,COP,XOM,CVX,EOG,BP,DVN,COP,XOM,CVX,EOG,BP,DVN,,,,,,Start Date,,,,,,
Frequency,,,,,,,,,,,Date,IQ_TOTAL_REV_1YR_ANN_GROWTH IQ_CQ COP,IQ_TOTAL_REV_1YR_ANN_GROWTH IQ_CQ XOM,IQ_TOTAL_REV_1YR_ANN_GROWTH IQ_CQ CVX,IQ_TOTAL_REV_1YR_ANN_GROWTH IQ_CQ EOG,IQ_TOTAL_REV_1YR_ANN_GROWTH IQ_CQ BP,IQ_TOTAL_REV_1YR_ANN_GROWTH IQ_CQ DVN,IQ_EBITDA growth IQ_CQ COP,IQ_EBITDA growth IQ_CQ XOM,IQ_EBITDA growth IQ_CQ CVX,IQ_EBITDA growth IQ_CQ EOG,IQ_EBITDA growth IQ_CQ BP,IQ_EBITDA growth IQ_CQ DVN,IQ_EBITDA growth IQ_LTM COP,IQ_EBITDA growth IQ_LTM XOM,IQ_EBITDA growth IQ_LTM CVX,IQ_EBITDA growth IQ_LTM EOG,IQ_EBITDA growth IQ_LTM BP,IQ_EBITDA growth IQ_LTM DVN,IQ_RETURN_INVESTED_CAPITAL IQ_CQ COP,IQ_RETURN_INVESTED_CAPITAL IQ_CQ XOM,IQ_RETURN_INVESTED_CAPITAL IQ_CQ CVX,IQ_RETURN_INVESTED_CAPITAL IQ_CQ EOG,IQ_RETURN_INVESTED_CAPITAL IQ_CQ BP,IQ_RETURN_INVESTED_CAPITAL IQ_CQ DVN,IQ_RETURN_INVESTED_CAPITAL IQ_LTM COP,IQ_RETURN_INVESTED_CAPITAL IQ_LTM XOM,IQ_RETURN_INVESTED_CAPITAL IQ_LTM CVX,IQ_RETURN_INVESTED_CAPITAL IQ_LTM EOG,IQ_RETURN_INVESTED_CAPITAL IQ_LTM BP,IQ_RETURN_INVESTED_CAPITAL IQ_LTM DVN,,,,,,Frequency,,,,,,
11/30/2016 0:00,45.35891669,10.15452765,9.657233484,-19.29545429,20.76951704,-2.18451867,49.44,2.635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/30/2016 0:00,24.22,,,42704,1.662084874,2.12199703,1.434601807,5.009047507,1.208028056,4.33314863
10/31/2016 0:00,42.00679878,9.745256985,9.160471281,-16.54922591,21.01291845,-1.874316423,46.86,2.2285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/31/2016 0:00,24.57,,,42674,1.488408651,2.025255356,1.347028857,4.224510284,1.22666088,3.397123973
9/30/2016 0:00,42.02002213,10.15247101,9.026980116,-17.5779185,20.83647911,-2.060131654,48.24,2.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/31/2016 0:00,24.52,,,42643,1.489093765,2.121510891,1.323496038,4.518385197,1.213154125,3.957815068
8/31/2016 0:00,41.05743691,10.11124824,8.777820884,-16.2979615,19.95697075,-2.14184474,44.7,2.0905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/30/2016 0:00,23.97,,,42613,1.354161431,2.11816031,1.289360958,4.041441011,1.143228548,4.680748504
7/29/2016 0:00,40.90543255,10.2973719,8.916326578,-15.18867549,20.19812575,-1.991794802,41.6,2.2435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/31/2016 0:00,23.81,,,42580,1.346574169,2.162156984,1.313717548,3.73133383,1.161420633,4.135219311
6/30/2016 0:00,42.74270274,10.7899312,9.087636252,-15.4693123,20.69436483,-1.932300533,48.33,2.2205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/30/2016 0:00,23.97,,,42551,1.438281082,2.278590171,1.343842804,3.809787438,1.198855574,3.918918919
5/31/2016 0:00,42.22837577,10.25925214,8.703077441,-15.15719827,18.55694134,-1.924632816,49.1,2.1185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/31/2016 0:00,23.39,,,42521,1.387320632,2.143781717,1.266440958,3.608926771,1.016180409,2.949747191
4/29/2016 0:00,44.87167826,10.19549767,8.789013869,-15.36290796,19.52482591,-1.882712953,45.92,2.2985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/29/2016 0:00,22.02,,,42489,1.514045513,2.128850863,1.281237001,3.66481723,1.086682883,2.834503535
3/31/2016 0:00,39.90226958,9.700886371,8.295243546,-13.72195063,17.89935368,-1.667606401,38.34,2.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/31/2016 0:00,22.18,,,42460,1.275802737,2.013016331,1.19622245,3.218976014,0.968280527,2.243145086
2/29/2016 0:00,34.49986031,9.265290478,7.179201718,-12.32492573,16.80853619,-1.329462263,33.75,2.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/31/2015 0:00,23.74,,,42429,1.051776526,1.947426328,1.028906999,2.750486138,0.921923456,1.232059015
1/29/2016 0:00,37.95875803,9.039692498,7.398544247,-13.34889935,18.17315575,-1.498422427,33.62,2.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/30/2015 0:00,23.67,,,42398,1.214795849,1.894167237,1.06607642,3.017140949,1.020112167,1.654447439
12/31/2015 0:00,42.97792953,9.04999876,7.652457492,-13.31137769,17.7095875,-1.59567586,37.04,2.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/31/2015 0:00,22.68,,,42369,1.45135154,1.896600336,1.109104137,3.007369864,0.986756959,1.897574124
11/30/2015 0:00,5.054201683,5.433626037,4.07856218,5.607225593,6.234167139,4.225342864,41.65,2.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/30/2015 0:00,21.45,,,42338,1.509441294,1.991211254,1.109453056,3.452536754,1.041847524,1.637522515
10/30/2015 0:00,5.005426391,5.49858455,4.061308379,5.751680806,6.390723688,4.013186994,46.59,2.3355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/31/2015 0:00,22.15,,,42307,1.489892563,2.017546157,1.104107465,3.552512068,1.074678953,1.492312955
9/30/2015 0:00,4.629856645,4.993953135,3.590750187,4.9711061,5.652588246,3.761511893,45.09,2.3545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/31/2015 0:00,22.4,,,42277,1.339367335,1.812962977,0.958318627,3.012287874,0.91988478,1.320054555
8/31/2015 0:00,4.632625355,5.050154185,3.610765436,5.225109703,6.01951053,4.134774798,49.2,2.3665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/30/2015 0:00,22.12,,,42247,1.246904333,1.816835323,0.985340871,2.467723537,0.963388398,1.1442446
7/31/2015 0:00,4.715463873,5.289310289,3.904425033,5.158209062,6.508892067,4.486287955,47.12,2.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/31/2015 0:00,21.92,,,42216,1.277093878,1.912699707,1.076465739,2.432429828,1.061436258,1.325564185
6/30/2015 0:00,5.486070925,5.529671209,4.217688073,5.77679313,6.937123697,5.009917763,59.47,2.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/30/2015 0:00,21.42,,,42185,1.557932759,2.009047035,1.17367371,2.758766407,1.1472327,1.595665992
5/29/2015 0:00,5.571253485,5.635305886,4.502139894,5.814545568,7.181224015,5.278965334,60.3,2.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/31/2015 0:00,20.96,,,42153,1.613788549,2.080457091,1.24316736,2.786697921,1.143921845,1.489800633
4/30/2015 0:00,5.866286707,5.766394049,4.817936339,6.427138767,7.423536717,5.434480137,59.63,2.8955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/28/2015 0:00,20.77,,,42124,1.721239295,2.133445259,1.340448224,3.109073844,1.190630795,1.558100294
3/31/2015 0:00,5.472445189,5.623224028,4.579717681,5.992565257,6.843718869,5.022825152,47.6,2.7435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/31/2015 0:00,20.02,,,42094,1.577802687,2.075573389,1.267065141,2.880380419,1.078863303,1.377307885
2/27/2015 0:00,5.539607244,5.816362188,4.515171318,5.767922395,7.066463783,5.048538588,49.76,2.6895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/31/2014 0:00,20.08,,,42062,1.546710731,2.129587189,1.293815617,2.778052667,1.130177282,1.175525744
1/30/2015 0:00,5.384931019,5.756453556,4.35146145,5.725307377,6.693360864,4.963870192,48.24,2.4925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/30/2014 0:00,19.75,,,42034,1.493914445,2.105811501,1.243132804,2.755933106,1.058995749,1.144455639
12/31/2014 0:00,5.807450596,6.061757907,4.729388546,5.906604972,6.591605875,5.012511387,53.27,2.832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/31/2014 0:00,18.5,,,42004,1.638134829,2.226976359,1.360134965,2.850036628,1.039582672,1.162305121
11/28/2014 0:00,4.45577758,5.436092806,4.359815192,7.142821723,3.202977566,11.16785027,66.15,2.8565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/30/2014 0:00,18.81,,,41971,1.471332154,2.123044424,1.318115171,2.681921554,0.950048419,1.087870987
10/31/2014 0:00,4.797822839,5.784909149,4.77797219,7.770446682,3.484996595,11.29378362,80.54,3.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/31/2014 0:00,18.68,,,41943,1.606729452,2.267722843,1.452263385,2.939536943,1.050464659,1.106872294
9/30/2014 0:00,5.043667869,5.634528035,4.754196115,8.068074969,3.531710981,12.29187687,91.16,3.0175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/31/2014 0:00,18.96,,,41912,1.70404626,2.205349327,1.444635824,3.061701663,1.067097874,1.257468434
8/29/2014 0:00,5.270955565,5.965451778,5.120315521,8.913939171,3.860261546,13.77415481,95.96,3.1755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/30/2014 0:00,18.88,,,41880,1.805396507,2.341454937,1.600567289,3.600252273,1.110403053,1.436822297
7/31/2014 0:00,5.342886413,5.93584456,5.112354496,8.880820821,3.948209524,13.78393604,98.17,3.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/31/2014 0:00,18.46,,,41851,1.833848951,2.329213266,1.597970772,3.585835537,1.140282862,1.438346372
6/30/2014 0:00,5.524399413,6.034914867,5.162016126,9.439015897,4.211012932,14.25839809,105.37,3.2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/30/2014 0:00,18.35,,,41820,1.905646916,2.37017578,1.614168092,3.828823222,1.229568776,1.51227531
5/30/2014 0:00,5.129240139,6.060886113,4.836314537,8.532914587,4.06241578,14.39952481,102.71,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/31/2014 0:00,18.48,,,41789,1.844026422,2.447383143,1.551501925,3.606261088,1.200659781,1.470860252
4/30/2014 0:00,4.813336038,6.168672614,4.940065732,7.946835015,4.077056083,13.92408846,99.74,3.0245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/28/2014 0:00,18.06,,,41759,1.714155659,2.493151374,1.585996592,3.340393068,1.205740901,1.393237045
3/31/2014 0:00,4.591137061,5.897486364,4.688827,7.949848712,3.90739313,13.55183503,101.58,3.0505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/31/2014 0:00,18.15,,,41729,1.622807841,2.378000451,1.502466022,3.341760196,1.146857025,1.332460232
2/28/2014 0:00,4.449449514,5.867702668,4.503463711,7.745224047,4.073881886,9.623642558,102.59,3.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/31/2013 0:00,18.04,,,41698,1.565289986,2.384761557,1.476598289,3.355620458,1.20438071,1.280292112
1/31/2014 0:00,4.362591099,5.644606876,4.372412419,6.835901177,3.825056219,8.96572624,97.49,3.1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/30/2013 0:00,18.15,,,41670,1.528805783,2.288726885,1.432574695,2.926667212,1.11817059,1.172902093
12/31/2013 0:00,4.681471975,6.18473472,4.879742054,6.933521369,3.968425212,9.287274357,98.42,3.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/31/2013 0:00,17.86,,,41639,1.662749219,2.521232393,1.603000136,2.97271741,1.167843352,1.22538758
11/29/2013 0:00,4.880979194,4.53528685,3.98761911,10.72794496,5.184026702,10.46886897,92.72,3.2255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/30/2013 0:00,17.88,,,41607,1.744902182,2.412884687,1.626432727,3.030688908,1.12303939,1.194048127
10/31/2013 0:00,4.910488912,4.357676932,3.907788679,11.51222132,5.16320881,10.83286897,96.38,3.3395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/31/2013 0:00,17.91,,,41578,1.757605453,2.313251237,1.593489627,3.276817583,1.117851481,1.245261013
9/30/2013 0:00,4.697796232,4.192950635,3.957360801,10.97643903,4.752162041,10.06846897,102.33,3.3805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/31/2013 0:00,18.12,,,41547,1.666046025,2.220845084,1.613946229,3.108673558,1.015416859,1.137713953
8/30/2013 0:00,4.513992686,4.258805132,3.903918603,10.26335246,4.613032589,10.33294483,107.65,3.2955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/30/2013 0:00,17.8,,,41516,1.671587801,2.316046883,1.628899384,2.974248447,1.005593036,1.15511512
7/31/2013 0:00,4.433952217,4.564329119,4.080483162,9.588144368,4.637107866,10.04174483,105.03,3.0985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/31/2013 0:00,18.25,,,41486,1.635281822,2.491158734,1.702749676,2.75532255,1.011643072,1.113030001
6/28/2013 0:00,4.120165495,4.371178536,3.806688193,8.797594504,4.682878744,9.634085824,96.56,3.1385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/30/2013 0:00,17.69,,,41453,1.51570603,2.405554825,1.637023036,2.604439518,1.01512899,1.068695397
5/31/2013 0:00,4.166842557,4.376798501,3.949776376,8.64708705,4.804530069,10.32983855,91.97,3.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/31/2013 0:00,17.68,,,41425,1.536750544,2.408749807,1.698027528,2.553410858,1.045497087,1.171074274
4/30/2013 0:00,4.117387099,4.307485598,3.925766114,8.183336998,4.8903424,10.07925558,93.46,3.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/28/2013 0:00,17.32,,,41394,1.514453381,2.369345035,1.687790946,2.396179153,1.066918614,1.134201399
3/28/2013 0:00,4.182504478,4.325119913,3.737439971,8.631753033,5.113747143,10.3150069,97.23,3.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/31/2013 0:00,17.03,,,41361,1.531261509,2.428722558,1.69077489,2.621251457,1.141389112,1.076535389
2/28/2013 0:00,4.058698225,4.298751216,3.68313743,8.489931866,4.920591085,10.0126069,92.05,3.5475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/31/2012 0:00,16.44,,,41333,1.474493864,2.413628954,1.667011264,2.571461094,1.088572875,1.035320989
1/31/2013 0:00,4.061472831,4.327972674,3.625814075,8.444336289,5.32251609,10.4228069,97.49,3.732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/30/2012 0:00,16.12,,,41305,1.475766076,2.430355496,1.641925683,2.555453468,1.198474508,1.091227559
12/31/2012 0:00,4.058346673,4.186221969,3.397404129,8.200309645,5.036468121,9.701806897,91.82,3.6525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/31/2012 0:00,16.62,,,41274,1.47433267,2.349216522,1.541969981,2.46978096,1.120258078,0.992961745
11/30/2012 0:00,2.891196407,4.567124948,3.287793722,8.002369115,3.25767089,3.89308418,88.91,3.6295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/30/2012 0:00,16.69,,,41243,1.458025584,2.410492644,1.555987023,2.313462421,1.127807706,0.960761673
10/31/2012 0:00,2.926904961,4.722195925,3.434899908,7.925642353,3.327204582,4.277510885,86.24,3.5175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/31/2012 0:00,16.14,,,41213,1.481327363,2.493358457,1.62298324,2.287671454,1.158084856,1.08236766
9/28/2012 0:00,2.970225768,4.771522971,3.615724476,7.546064882,3.287966446,4.205261248,92.19,3.758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/31/2012 0:00,15.55,,,41180,1.51069009,2.592746601,1.759325511,2.265504745,1.198599344,1.101113611
8/31/2012 0:00,2.954913847,4.556495538,3.473129448,7.327671955,3.266758932,4.04851016,96.47,3.454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/30/2012 0:00,15.05,,,41152,1.500386327,2.475087789,1.692913086,2.18968464,1.188921686,1.05251901
7/31/2012 0:00,2.86264971,4.53317931,3.389516908,6.728401763,3.13295858,4.124243832,88.06,3.4175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/31/2012 0:00,15.22,,,41121,1.438299554,2.462329604,1.653971255,1.981634271,1.127864367,1.0759973
6/29/2012 0:00,3.097637548,4.537412461,3.291425311,6.256730465,3.162942755,4.13093701,84.96,3.4965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/30/2012 0:00,15.7,,,41089,1.062064772,2.548464219,1.658635339,1.869876417,1.087974817,1.068097832
5/31/2012 0:00,2.94557192,4.173132745,3.057101183,6.791087951,2.910394959,4.220738462,86.53,3.3735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/31/2012 0:00,15.69,,,41060,0.99136182,2.34177564,1.545596589,2.060578495,0.978479571,1.096278375
4/30/2012 0:00,3.741463796,4.577829663,3.32597101,7.401877012,3.340592798,4.827044993,104.87,3.8255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/29/2012 0:00,15.37,,,41029,1.361411948,2.571396525,1.6753003,2.278557557,1.164997208,1.286543086
3/30/2012 0:00,3.705266986,4.708819691,3.41745118,7.395348417,3.38795478,4.78441103,103.02,3.8425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/31/2012 0:00,14.87,,,40998,1.49097065,2.647592035,1.746145077,2.36497413,1.277092397,1.341091554
2/29/2012 0:00,3.727605244,4.696651353,3.479818115,7.5555273,3.521133068,4.912855007,107.07,3.8985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/31/2011 0:00,14.3,,,40968,1.501562995,2.640570864,1.777253528,2.423725962,1.338284036,1.382387821
1/31/2012 0:00,3.382603264,4.550631296,3.291055136,7.105976269,3.443642378,4.355677939,98.48,3.8185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/30/2011 0:00,14.1,,,40939,1.337970109,2.556316811,1.683099086,2.258835644,1.302679266,1.203248763
12/30/2011 0:00,4.060580527,6.15324496,4.611883037,12.23055249,21.77076548,4.893499403,98.83,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/31/2011 0:00,13.88,,,40907,1.470266009,2.605328275,1.752768518,2.119802493,1.236974981,1.186702682
11/30/2011 0:00,3.989147166,5.848636744,4.453863752,12.79764117,22.09975054,5.131938918,100.36,3.596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/30/2011 0:00,13.5,,,40877,1.438992339,2.472541369,1.693793788,2.232345048,1.259581489,1.252928348
10/31/2011 0:00,3.912183481,5.682935515,4.55229476,11.24600848,22.36157768,5.096793209,93.08,3.669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/31/2011 0:00,13.79,,,40847,1.405297482,2.400307752,1.730529444,1.924413125,1.27757318,1.243166761
9/30/2011 0:00,3.620458855,5.297944575,4.002317024,9.24851061,18.93522359,4.472644259,79.46,3.2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/31/2011 0:00,15.61,,,40816,1.27757985,2.232479856,1.525271025,1.527996265,1.042128133,1.069811771
8/31/2011 0:00,3.876146634,5.507351495,4.361958565,11.50285697,20.43100836,5.601466473,89.88,4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/30/2011 0:00,15.35,,,40786,1.334043942,2.313670371,1.711800356,2.059452001,1.156915193,1.318424258
7/29/2011 0:00,4.06296567,5.920049759,4.591921159,12.52234216,22.9791684,6.373920833,97.52,4.497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/31/2011 0:00,16.12,,,40753,1.410868567,2.494025384,1.801512272,2.268755849,1.33491707,1.529706459
6/30/2011 0:00,4.215471006,6.033774237,4.539535857,12.79550723,22.41782043,6.401907524,97.96,4.2895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/30/2011 0:00,16.21,,,40724,1.473582547,2.543724599,1.781075967,2.324837586,1.295704073,1.537361396
5/31/2011 0:00,4.202809934,6.182505734,4.650016412,13.2500912,23.27326875,7.004540181,104.71,4.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/31/2011 0:00,16.04,,,40694,1.479119565,2.714420219,1.915508088,2.485244334,1.422667257,1.849373862
4/29/2011 0:00,4.480997456,6.509326861,4.851854343,13.67339676,23.158315,7.504692032,114.58,4.2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/28/2011 0:00,16.52,,,40662,1.593659417,2.861084113,1.998219475,2.574279568,1.414221855,2.001820167
3/31/2011 0:00,4.528588619,6.230333216,4.764970465,14.2637592,22.323918,7.590014161,108.18,4.3315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/31/2011 0:00,16.3,,,40633,1.613254418,2.735883228,1.962615236,2.698452415,1.352920517,2.027826356
2/28/2011 0:00,4.373887127,6.430579273,4.568750703,13.3062127,23.90838724,7.133403856,101.57,4.4665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/31/2010 0:00,16.05,,,40602,1.623737466,2.888258009,1.982022385,2.79115851,1.598577487,2.027989404
1/31/2011 0:00,4.055801617,6.076800079,4.176385268,12.69043273,23.49118874,7.001149121,99.56,4.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/30/2010 0:00,15.88,,,40574,1.490076786,2.724478618,1.813554787,2.641933141,1.565596726,1.987728406
12/31/2010 0:00,3.891708486,5.547287063,4.012647309,11.15540676,22.11443369,6.251674629,94.43,4.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/31/2010 0:00,15.9,,,40543,1.42112426,2.479344588,1.743251599,2.269941803,1.456760215,1.759573313
11/30/2010 0:00,5.410267422,7.670700507,5.319744603,10.44189624,3.994624956,-15.70815998,87.05,3.6745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/30/2010 0:00,15.61,,,40512,1.274538119,2.418519029,1.593716295,2.233091877,1.398103168,1.634097309
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/31/2010 0:00,15.47,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/31/2010 0:00,15.72,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/30/2010 0:00,16.15,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/31/2010 0:00,17.3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/30/2010 0:00,19.01,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/31/2010 0:00,18.91,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/28/2010 0:00,18.91,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/31/2010 0:00,20.7,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/31/2009 0:00,21.78,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/30/2009 0:00,28.51,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/31/2009 0:00,42.12,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/30/2009 0:00,83.3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/31/2009 0:00,92.95,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/31/2009 0:00,101.87,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/30/2009 0:00,123.32,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/31/2009 0:00,123.73,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/30/2009 0:00,119.85,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/31/2009 0:00,110.37,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/28/2009 0:00,84.46,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/31/2009 0:00,70.91,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/31/2008 0:00,58.98,,,,,,,,,
