date,company,target,oil_price,oil_price_mom,copper_price,copper_price_mom,sp500_pe,rev_growth_cq,ebitda_growth_cq,ebitda_growth_ltm,roic_cq,roic_ltm
2010-12-31,BP,22.11443369,94.43,0.0847788627225734,4.246,0.15553136481153906,16.05,,,,,
2011-01-31,BP,23.49118874,99.56,0.05432595573440646,4.336,0.021196420160150664,16.3,0.120154,0.116858639,0.153952192,0.163992,-0.04566
2011-02-28,BP,23.90838724,101.57,0.020188830855765172,4.4665,0.030096863468634494,16.52,0.120154,0.116858639,0.153952192,0.163992,-0.04566
2011-03-31,BP,22.323918,108.18,0.0650782711430542,4.3315,-0.03022500839583564,16.04,0.120154,0.116858639,0.153952192,0.163992,-0.04566
2011-04-30,BP,23.158315,114.58,0.05916065816232208,4.2005,-0.030243564585016758,16.21,0.16775400000000001,0.038582677,0.02436016,0.176896,-0.023332
2011-05-31,BP,23.27326875,104.71,-0.08614068772909766,4.217,0.003928103797167015,16.12,0.16775400000000001,0.038582677,0.02436016,0.176896,-0.023332
2011-06-30,BP,22.41782043,97.96,-0.06446375704326235,4.2895,0.017192316812900232,15.35,0.16775400000000001,0.038582677,0.02436016,0.176896,-0.023332
2011-07-31,BP,22.9791684,97.52,-0.004491629236422989,4.497,0.04837393635621856,15.61,0.374893,0.155455386,0.056695215,0.12888,0.137525
2011-08-31,BP,20.43100836,89.88,-0.07834290401968824,4.23,-0.05937291527685107,13.79,0.374893,0.155455386,0.056695215,0.12888,0.137525
2011-09-30,BP,18.93522359,79.46,-0.11593235425011128,3.2015,-0.24314420803782522,13.5,0.374893,0.155455386,0.056695215,0.12888,0.137525
2011-10-31,BP,22.36157768,93.08,0.17140699723131148,3.669,0.14602530064032493,13.88,0.35088,0.018789625,0.080011486,0.098248,0.145171
2011-11-30,BP,22.09975054,100.36,0.07821229050279332,3.596,-0.01989642954483506,14.1,0.35088,0.018789625,0.080011486,0.098248,0.145171
2011-12-31,BP,21.77076548,98.83,-0.015245117576723755,3.46,-0.03781979977753058,14.3,0.35088,0.018789625,0.080011486,0.098248,0.145171
2012-01-31,BP,3.443642378,98.48,-0.0035414347870079688,3.8185,0.10361271676300565,14.87,0.166423,-0.079411213,0.036091907,0.165008,0.141869
2012-02-29,BP,3.521133068,107.07,0.08722583265637684,3.8985,0.02095063506612549,15.37,0.166423,-0.079411213,0.036091907,0.165008,0.141869
2012-03-31,BP,3.38795478,103.02,-0.037825721490613584,3.8425,-0.014364499166346079,15.69,0.166423,-0.079411213,0.036091907,0.165008,0.141869
2012-04-30,BP,3.340592798,104.87,0.01795767812075333,3.8255,-0.004424202992843185,15.7,0.111908,-0.162918036,-0.031933574,0.113032,0.124927
