Simulation_Number,Annual_Return
1,1.739441568800233
2,0.2406642539708301
3,0.8592596962976742
4,1.4235513257328931
5,0.3888757736336372
6,0.6906942127651341
7,-0.0792053189019251
8,0.8394792371812063
9,1.5073234897468692
10,0.1015363249549115
11,0.392036021260538
12,0.9652021980271056
13,0.1098951095155418
14,0.0352399867437487
15,-0.2462983962478611
16,0.5614887240545285
17,-0.168576238688959
18,0.0610322810446648
19,0.6778771009740501
20,0.1470630404727209
21,0.5958558023997211
22,-0.556203006654382
23,0.954774758899525
24,0.6353052472423004
25,0.0074486351135369
26,-0.285487439605378
27,-0.3389278198300322
28,0.0967330559553216
29,0.0352033214754481
30,0.3930850593382291
31,-0.2375200624845646
32,1.223277212629501
33,-0.0733920556989142
34,0.1115541199751577
35,0.612836728799592
36,0.1622583490711138
37,0.0154415908751079
38,0.6474965799605266
39,0.860078505798366
40,-0.1418854460029603
41,-0.3135472262742994
42,0.2020795512871656
43,0.5979506289871868
44,0.3726308534972535
45,0.3423553697827892
46,0.1912942532073329
47,0.787968929923631
48,-0.1612372190375278
49,1.2756999785036625
50,0.4733503513814459
51,0.4455589617216204
52,1.037343686355504
53,0.2659621823212106
54,-0.3149627387587416
55,0.0685218862120053
56,0.4396426017607706
57,0.5475469751649367
58,0.0801792270452144
59,0.6325924575470203
60,-0.1370469477603096
61,0.1531240593406213
62,-0.1948216949222007
63,1.820919595699312
64,0.3975664160785022
65,-0.0534354548275649
66,-0.4260703492029145
67,-0.3562437190957735
68,0.655028980932383
69,-0.0501207220466852
70,0.4299432932920228
71,0.0760728641264056
72,-0.005509656766434
73,0.1720543596593939
74,0.9631822077689912
75,1.2921582927172115
76,0.1000614568680486
77,0.5876739547607008
78,0.3180094787007657
79,0.6344020241275861
80,0.3731049823304802
81,0.9406005153934852
82,0.6297548464840363
83,0.3429803181231499
84,1.5852420579269149
85,0.1512455575835296
86,2.9922227332787115
87,0.9211237234605792
88,0.0574433900883772
89,1.0456543500473008
90,0.3897826449622863
91,0.4470199783410318
92,0.6491649041997556
93,0.6235569777583247
94,0.030917598434053
95,-0.199459845873564
96,-0.0182346838850994
97,0.9723903175028286
98,-0.1683445127537621
99,0.3278885254481685
100,-0.495055009386194
101,-0.0774529920149689
102,0.1100500512071935
103,0.2822367146698943
104,0.2850076975839948
105,0.6663528546294886
106,-0.2721539689011961
107,1.4252008971733945
108,0.1458614716405191
109,0.1438601611967218
110,0.9964398915422712
111,-0.026949043826395
112,0.1357078448502346
113,0.1880939866218955
114,0.3484218491196365
115,1.2939713619504758
116,-0.1090935049698949
117,1.283752187054608
118,0.5773502140235216
119,0.1692627328913305
120,0.5005511019683255
121,0.8806362231335065
122,-0.0298033641105666
123,0.936174529788926
124,0.2352172612326186
125,0.0943213877862119
126,0.6181887310945766
127,0.153872638428995
128,-0.1421694040246479
129,0.8528229094417874
130,0.7477135734777203
131,0.1635462281993749
132,0.4099818154103463
133,-0.0304364003191974
134,-0.2952275517178642
135,0.813364384553042
136,0.6758144234429677
137,0.2062991290831741
138,0.4015478198291653
139,0.3580403395418332
140,0.4262889859567995
141,0.3836184584865576
142,-0.084164659431048
143,-0.4141356267408439
144,1.146593650736051
145,-0.3368214689812195
146,0.14202650111376
147,0.7174878817513661
148,-0.3948885011783022
149,0.2941246896145832
150,0.3900202133309278
151,-0.2906176199549112
152,0.4803107088916403
153,0.2455029274363591
154,0.3414072914753394
155,0.973289770846916
156,-0.4193734292681654
157,0.3145239961855377
158,-0.5173531138105454
159,-0.1335786155806578
160,0.3627627905129809
161,0.1927436924213907
162,-0.1878417951350066
163,0.0059825150329948
164,-0.0430542956637639
165,-0.0647317911884172
166,0.3657877895958512
167,-0.3585069099367547
168,0.6837646347494417
169,0.624069903246967
170,0.4318782755177643
171,0.3969359492812416
172,0.1702637875074255
173,1.051284620543917
174,-0.1032316707838216
175,-0.1228245200380919
176,0.4759965545933071
177,0.0225958051827568
178,0.297646149209875
179,0.5524901196781156
180,1.442612863694788
181,0.108895220133071
182,-0.0323665465560525
183,-0.0995131355447331
184,0.3618190569203381
185,0.1657547916488855
186,0.3897808520472343
187,-0.0863977282634944
188,0.533220489163297
189,0.3280802624250185
190,-0.485722056115901
191,0.7180454292036038
192,0.6360153690219941
193,-0.1872613894568023
194,0.1036798321474294
195,0.1905477679874887
196,0.0280607158041437
197,0.1617145226119269
198,0.162464461566022
199,0.7859314898935863
200,0.3378201063409385
201,0.4277996395793682
202,-0.0008395617711544
203,0.1358617128760906
204,0.9033321912164632
205,0.812800704589941
